symbol,endDate,netIncome,changeToLiabilities,investments,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,repurchaseOfStock,issuanceOfStock,capitalExpenditures
AIG,2019/06/30,1109000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIG,2019/03/31,654000000,0,-1353000000,-1979000000,860000000,2764000000,-4073000000,-179000000,12000000,-976000000,1299000000,17000000,-278000000,315000000,1697000000,662000000,0,0,0
AIG,2018/12/31,-622000000,0,1432000000,694000000,-209000000,-539000000,-970000000,235000000,-19000000,99000000,1549000000,1091000000,-280000000,-81000000,695000000,447000000,-745000000,0,0
AIG,2018/09/30,-1259000000,0,7717000000,553000000,-274000000,-90000000,-818000000,743000000,-22000000,302000000,1029000000,-591000000,-283000000,955000000,815000000,734000000,-348000000,0,0
AFL,2019/06/30,817000000,0,-614000000,-1436000000,268000000,-292000000,551000000,-873000000,42000000,813000000,0,-352000000,-194000000,-52000000,-23000000,-228000000,-357000000,14000000,0
AFL,2019/03/31,928000000,0,-2073000000,-1291000000,268000000,-686000000,468000000,-445000000,-12000000,1544000000,0,958000000,-195000000,35000000,-13000000,-543000000,-490000000,12000000,0
AFL,2018/12/31,525000000,0,1126000000,-410000000,470000000,-103000000,522000000,908000000,66000000,1355000000,49000000,-1177000000,-198000000,-28000000,-19000000,-52000000,-378000000,22000000,0
AFL,2018/09/30,845000000,0,1164000000,-1729000000,470000000,-525000000,475000000,-418000000,-16000000,1852000000,49000000,-1687000000,-199000000,-26000000,-28000000,25000000,-322000000,24000000,0
ALL,2019/06/30,851000000,415000000,-779000000,-879000000,175000000,-421000000,226000000,48000000,0,1348000000,160000000,0,-196000000,-170000000,-112000000,10000000,-332000000,44000000,-93000000
ALL,2019/03/31,1292000000,-201000000,-155000000,-263000000,175000000,-399000000,-312000000,52000000,0,714000000,157000000,0,-189000000,-39000000,-210000000,-486000000,-332000000,44000000,-80000000
ALL,2018/12/31,-269000000,130000000,1445000000,737000000,1000000,-2055000000,407000000,39000000,0,1357000000,135000000,0,-196000000,26000000,-241000000,1057000000,-1241000000,7000000,-82000000
ALL,2018/09/30,870000000,574000000,-1022000000,-1145000000,1000000,-612000000,377000000,-29000000,0,1728000000,128000000,0,-199000000,-237000000,-227000000,-14000000,-224000000,38000000,-67000000
AON,2019/06/30,277000000,-125000000,-147000000,-195000000,1154000000,-92000000,27000000,-19000000,-19000000,287000000,137000000,0,-107000000,-19000000,-84000000,98000000,-1055000000,0,-49000000
AON,2019/03/31,659000000,-454000000,39000000,-27000000,177000000,-140000000,-5000000,-56000000,37000000,74000000,137000000,0,-96000000,-458000000,-121000000,77000000,-100000000,0,-57000000
AON,2018/12/31,345000000,356000000,18000000,-53000000,-125000000,-444000000,-164000000,172000000,-42000000,711000000,165000000,0,-97000000,-116000000,-24000000,-46000000,-198000000,0,-61000000
AON,2018/09/30,147000000,164000000,-18000000,-95000000,-63000000,-457000000,-299000000,-3000000,-13000000,562000000,141000000,0,-98000000,360000000,5000000,42000000,-301000000,0,-68000000
AJG,2019/06/30,110100000,-17400000,-300000,-591500000,195100000,112700000,133200000,5800000,-31200000,515800000,115000000,0,-80100000,176600000,-34600000,28200000,0,32300000,-36000000
AJG,2019/03/31,334100000,-49200000,-400000,-141300000,574500000,507400000,786100000,304000000,34100000,-96200000,110500000,0,-79600000,-1285600000,-20300000,-27600000,0,32800000,-39300000
AJG,2018/12/31,117300000,-62200000,-15500000,-256500000,98900000,5200000,124600000,-23700000,-32900000,260500000,105900000,0,-75600000,-800000,-30100000,27400000,0,12000000,-33600000
AJG,2018/09/30,127600000,-21400000,-400000,-208100000,48500000,-44800000,-323200000,-84200000,-22600000,191300000,105100000,0,-75300000,315000000,-40200000,-12800000,0,22200000,-28100000
CB,2019/06/30,1150000000,679000000,-1208000000,-1614000000,786000000,199000000,662000000,-25000000,4000000,1386000000,77000000,-406000000,-335000000,-1121000000,62000000,189000000,-374000000,60000000,0
CB,2019/03/31,1040000000,-228000000,-596000000,-673000000,1000000,-630000000,-44000000,53000000,34000000,1322000000,76000000,-77000000,-336000000,278000000,37000000,-66000000,-367000000,35000000,0
CB,2018/12/31,355000000,422000000,-805000000,-808000000,4000000,-567000000,-501000000,183000000,-25000000,1583000000,86000000,-3000000,-336000000,93000000,48000000,1149000000,-312000000,29000000,0
CB,2018/09/30,1231000000,461000000,-1055000000,-867000000,-100000000,-775000000,250000000,56000000,-2000000,1700000000,83000000,188000000,-340000000,55000000,24000000,-338000000,-385000000,26000000,0
CINF,2019/06/30,428000000,179000000,-149000000,-160000000,5000000,-115000000,112000000,1000000,0,276000000,17000000,0,-90000000,-136000000,-34000000,-271000000,0,4000000,-8000000
CINF,2019/03/31,695000000,113000000,-50000000,-56000000,5000000,-126000000,-156000000,18000000,0,200000000,19000000,0,-85000000,-95000000,-44000000,-496000000,0,3000000,-5000000
