Symbol,Security,GICS Sector,GICS Sub Industry,Date first added,CIK,Founded,HQ City,HQ State
MMM,3M Company,Industrials,Industrial Conglomerates,0,66740,1902,St. Paul, Minnesota
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1964-03-31,1800,1888,North Chicago, Illinois
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,2012-12-31,1551152,2013 (1888),North Chicago, Illinois
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,2018-05-31,815094,1981,Danvers, Massachusetts
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,2011-07-06,1467373,1989,Dublin, Ireland
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31,718877,2008,Santa Monica, California
ADBE,Adobe Systems Inc,Information Technology,Application Software,1997-05-05,796343,1982,San Jose, California
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,2017-03-20,2488,1969,Sunnyvale, California
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09,1158449,1932,Raleigh, North Carolina
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,1998-10-02,874761,1981,Arlington, Virginia
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,2014-07-01,1004434,1993,West Palm Beach, Florida
AFL,AFLAC Inc,Financials,Life & Health Insurance,1999-05-28,4977,1955,Columbus, Georgia
A,Agilent Technologies Inc,Health Care,Health Care Equipment,2000-06-05,1090872,1999,Santa Clara, California
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,1985-04-30,2969,1940,Allentown, Pennsylvania
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,2007-07-12,1086222,1998,Cambridge, Massachusetts
ALK,Alaska Air Group Inc,Industrials,Airlines,2016-05-13,766421,1985,Seattle, Washington
ALB,Albemarle Corp,Materials,Specialty Chemicals,2016-07-01,915913,1994,Charlotte, North Carolina
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,1035443,1994,Pasadena, California
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,2012-05-25,899866,1992,Boston, Massachusetts
ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19,1097149,1997,San Jose, California
ALLE,Allegion,Industrials,Building Products,2013-12-02,1579241,1908,Dublin, Ireland
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,1999-04-12,1578845,1983,Dublin, Ireland
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,2013-12-23,1101215,1996,Plano, Texas
LNT,Alliant Energy Corp,Utilities,Electric Utilities,2016-07-01,352541,1917,Madison, Wisconsin
ALL,Allstate Corp,Financials,Property & Casualty Insurance,1995-07-13,899051,1931,Northfield Township, Illinois
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,2014-04-03,1652044,1998,Mountain View, California
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,2006-04-03,1652044,1998,Mountain View, California
MO,Altria Group Inc,Consumer Staples,Tobacco,0,764180,1985,Richmond, Virginia
