symbol,endDate,index,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares
AIG,2019/06/30,0,0.0,0.0,1837000000,1566000000,1109000000,2080000000,4353000000,2273000000,2273000000,14000000,-360000000,0.0,0.0,0.0,446000000,12561000000,10288000000,8208000000,-441000000,-1000000,1391000000,1102000000
AIG,2019/03/31,3,0.0,0.0,1154000000,1306000000,654000000,2006000000,3548000000,1542000000,1542000000,14000000,-349000000,0.0,0.0,0.0,217000000,12456000000,10914000000,8908000000,-388000000,-1000000,937000000,654000000
AIG,2018/12/31,6,0.0,0.0,-695000000,948000000,-622000000,2237000000,2187000000,-50000000,-50000000,14000000,-407000000,0.0,0.0,0.0,-137000000,12658000000,12708000000,10471000000,-645000000,-2000000,-558000000,-622000000
AIG,2018/09/30,9,0.0,0.0,-1527000000,591000000,-1259000000,2199000000,1118000000,-1081000000,-1081000000,14000000,-326000000,0.0,0.0,0.0,-307000000,11481000000,12562000000,10363000000,-446000000,-39000000,-1220000000,-1259000000
AFL,2019/06/30,12,0.0,0.0,1109000000,0,817000000,743000000,1909000000,1166000000,1166000000,0,-57000000,0.0,0.0,0.0,292000000,5511000000,4345000000,3602000000,-57000000,0,817000000,817000000
AFL,2019/03/31,15,0.0,0.0,1242000000,0,928000000,719000000,2019000000,1300000000,1300000000,0,-58000000,0.0,0.0,0.0,314000000,5657000000,4357000000,3638000000,-58000000,0,928000000,928000000
AFL,2018/12/31,18,0.0,0.0,722000000,0,525000000,795000000,1575000000,780000000,780000000,0,-58000000,0.0,0.0,0.0,197000000,5126000000,4346000000,3551000000,-58000000,0,525000000,525000000
AFL,2018/09/30,21,0.0,0.0,1146000000,0,845000000,730000000,1929000000,1199000000,1199000000,0,-53000000,0.0,0.0,0.0,301000000,5577000000,4378000000,3648000000,-53000000,0,845000000,845000000
ALL,2019/06/30,24,0.0,0.0,1078000000,0,851000000,1505000000,2759000000,1222000000,1222000000,0,-82000000,0.0,0.0,0.0,227000000,11144000000,9922000000,8385000000,-144000000,0,851000000,821000000
ALL,2019/03/31,27,0.0,0.0,1620000000,0,1292000000,1395000000,3147000000,1720000000,1720000000,0,-83000000,0.0,0.0,0.0,328000000,10990000000,9270000000,7843000000,-100000000,0,1292000000,1261000000
