symbol,date,amount,type
GL,2006-01-03,0.11,DIVIDEND
MMC,2006-01-05,0.17,DIVIDEND
LNC,2006-01-06,0.38,DIVIDEND
UNM,2006-01-26,0.075,DIVIDEND
AON,2006-01-30,0.15,DIVIDEND
AFL,2006-02-15,0.13,DIVIDEND
L,2006-02-27,0.15,DIVIDEND
HIG,2006-02-27,0.4,DIVIDEND
AIG,2006-03-01,0.15,DIVIDEND
RE,2006-03-02,0.12,DIVIDEND
TRV,2006-03-08,0.23,DIVIDEND
ALL,2006-03-08,0.35,DIVIDEND
PGR,2006-03-08,0.03,DIVIDEND
CB,2006-03-15,0.25,DIVIDEND
CINF,2006-03-22,0.335,DIVIDEND
WLTW,2006-03-29,0.235,DIVIDEND
CB,2006-03-29,0.23,DIVIDEND
AJG,2006-03-29,0.3,DIVIDEND
MMC,2006-04-05,0.17,DIVIDEND
GL,2006-04-05,0.11,DIVIDEND
LNC,2006-04-11,0.38,DIVIDEND
UNM,2006-04-20,0.075,DIVIDEND
AON,2006-04-28,0.15,DIVIDEND
AFL,2006-05-17,0.13,DIVIDEND
RE,2006-05-24,0.12,DIVIDEND
ALL,2006-05-26,0.35,DIVIDEND
HIG,2006-05-30,0.4,DIVIDEND
L,2006-05-30,0.0625,DIVIDEND
AIG,2006-05-31,0.15,DIVIDEND
PGR,2006-06-07,0.0075,DIVIDEND
TRV,2006-06-07,0.26,DIVIDEND
CB,2006-06-21,0.25,DIVIDEND
CINF,2006-06-21,0.335,DIVIDEND
CB,2006-06-28,0.25,DIVIDEND
WLTW,2006-06-28,0.235,DIVIDEND
AJG,2006-06-28,0.3,DIVIDEND
MMC,2006-07-05,0.17,DIVIDEND
GL,2006-07-05,0.13,DIVIDEND
LNC,2006-07-06,0.38,DIVIDEND
UNM,2006-07-27,0.075,DIVIDEND
AON,2006-07-28,0.15,DIVIDEND
AFL,2006-08-16,0.13,DIVIDEND
RE,2006-08-24,0.12,DIVIDEND
ALL,2006-08-29,0.35,DIVIDEND
L,2006-08-30,0.0625,DIVIDEND
HIG,2006-08-30,0.4,DIVIDEND
AIG,2006-08-30,0.165,DIVIDEND
TRV,2006-09-06,0.26,DIVIDEND
PGR,2006-09-06,0.0088,DIVIDEND
CB,2006-09-20,0.25,DIVIDEND
CINF,2006-09-20,0.335,DIVIDEND
AJG,2006-09-27,0.3,DIVIDEND
CB,2006-09-27,0.25,DIVIDEND
