maxAge,endDate,netIncome,changeToLiabilities,symbol,investments,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,changeInCash,effectOfExchangeRate,totalCashFromOperatingActivities,depreciation,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,changeToNetincome,repurchaseOfStock,issuanceOfStock,capitalExpenditures
1,1561852800,1109000000,0,AIG,,,,,,,,,,,,,,,,,
1,2019-06-30,1.11B,,AIG,,,,,,,,,,,,,,,,,
1,,"1,109,000,000",0,AIG,,,,,,,,,,,,,,,,,
1,1553990400,654000000,0,AIG,-1353000000,-1979000000,860000000,2764000000,-4073000000,-179000000,12000000,-976000000,1299000000,17000000,-278000000,315000000,1697000000,662000000,,,
1,2019-03-31,654M,,AIG,-1.35B,-1.98B,860M,2.76B,-4.07B,-179M,12M,-976M,1.3B,17M,-278M,315M,1.7B,662M,,,
1,,"654,000,000",0,AIG,"-1,353,000,000","-1,979,000,000","860,000,000","2,764,000,000","-4,073,000,000","-179,000,000","12,000,000","-976,000,000","1,299,000,000","17,000,000","-278,000,000","315,000,000","1,697,000,000","662,000,000",,,
1,1546214400,-622000000,0,AIG,1432000000,694000000,-209000000,-539000000,-970000000,235000000,-19000000,99000000,1549000000,1091000000,-280000000,-81000000,695000000,447000000,-745000000,,
1,2018-12-31,-622M,,AIG,1.43B,694M,-209M,-539M,-970M,235M,-19M,99M,1.55B,1.09B,-280M,-81M,695M,447M,-745M,,
1,,"-622,000,000",0,AIG,"1,432,000,000","694,000,000","-209,000,000","-539,000,000","-970,000,000","235,000,000","-19,000,000","99,000,000","1,549,000,000","1,091,000,000","-280,000,000","-81,000,000","695,000,000","447,000,000","-745,000,000",,
1,1538265600,-1259000000,0,AIG,7717000000,553000000,-274000000,-90000000,-818000000,743000000,-22000000,302000000,1029000000,-591000000,-283000000,955000000,815000000,734000000,-348000000,,
1,2018-09-30,-1.26B,,AIG,7.72B,553M,-274M,-90M,-818M,743M,-22M,302M,1.03B,-591M,-283M,955M,815M,734M,-348M,,
1,,"-1,259,000,000",0,AIG,"7,717,000,000","553,000,000","-274,000,000","-90,000,000","-818,000,000","743,000,000","-22,000,000","302,000,000","1,029,000,000","-591,000,000","-283,000,000","955,000,000","815,000,000","734,000,000","-348,000,000",,
1,1561852800,817000000,0,AFL,-614000000,-1436000000,268000000,-292000000,551000000,-873000000,42000000,813000000,,-352000000,-194000000,-52000000,-23000000,-228000000,-357000000,14000000,
1,2019-06-30,817M,,AFL,-614M,-1.44B,268M,-292M,551M,-873M,42M,813M,,-352M,-194M,-52M,-23M,-228M,-357M,14M,
1,,"817,000,000",0,AFL,"-614,000,000","-1,436,000,000","268,000,000","-292,000,000","551,000,000","-873,000,000","42,000,000","813,000,000",,"-352,000,000","-194,000,000","-52,000,000","-23,000,000","-228,000,000","-357,000,000","14,000,000",
1,1553990400,928000000,0,AFL,-2073000000,-1291000000,268000000,-686000000,468000000,-445000000,-12000000,1544000000,,958000000,-195000000,35000000,-13000000,-543000000,-490000000,12000000,
1,2019-03-31,928M,,AFL,-2.07B,-1.29B,268M,-686M,468M,-445M,-12M,1.54B,,958M,-195M,35M,-13M,-543M,-490M,12M,
1,,"928,000,000",0,AFL,"-2,073,000,000","-1,291,000,000","268,000,000","-686,000,000","468,000,000","-445,000,000","-12,000,000","1,544,000,000",,"958,000,000","-195,000,000","35,000,000","-13,000,000","-543,000,000","-490,000,000","12,000,000",
1,1546214400,525000000,0,AFL,1126000000,-410000000,470000000,-103000000,522000000,908000000,66000000,1355000000,49000000,-1177000000,-198000000,-28000000,-19000000,-52000000,-378000000,22000000,
1,2018-12-31,525M,,AFL,1.13B,-410M,470M,-103M,522M,908M,66M,1.35B,49M,-1.18B,-198M,-28M,-19M,-52M,-378M,22M,
1,,"525,000,000",0,AFL,"1,126,000,000","-410,000,000","470,000,000","-103,000,000","522,000,000","908,000,000","66,000,000","1,355,000,000","49,000,000","-1,177,000,000","-198,000,000","-28,000,000","-19,000,000","-52,000,000","-378,000,000","22,000,000",
1,1538265600,845000000,0,AFL,1164000000,-1729000000,470000000,-525000000,475000000,-418000000,-16000000,1852000000,49000000,-1687000000,-199000000,-26000000,-28000000,25000000,-322000000,24000000,
1,2018-09-30,845M,,AFL,1.16B,-1.73B,470M,-525M,475M,-418M,-16M,1.85B,49M,-1.69B,-199M,-26M,-28M,25M,-322M,24M,
