symbol,companyName,primaryExchange,calculationPrice,open,openTime,close,closeTime,high,low,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,iexRealtimePrice,iexRealtimeSize,iexLastUpdated,delayedPrice,delayedPriceTime,extendedPrice,extendedChange,extendedChangePercent,extendedPriceTime,previousClose,previousVolume,change,changePercent,volume,iexMarketPercent,iexVolume,avgTotalVolume,iexBidPrice,iexBidSize,iexAskPrice,iexAskSize,marketCap,peRatio,week52High,week52Low,ytdChange,lastTradeTime,isUSMarketOpen
MMM,3M Co.,New York Stock Exchange,close,164.64,1567776600508,163.94,1567800108143,164.88,162.95,163.94,Close,"September 6, 2019",1567800108143,1762315,163.93,14,1567799990885,163.94,1567800600012,163.94,0.0,0.0,1567810976991,164.23,2421764,-0.29,-0.00177,1762315,0.0394577586867274,69537,2935039,0,0,0,0,94311239260,19.41,219.75,154.0,-0.141702,1567799990885,False
ABT,Abbott Laboratories,New York Stock Exchange,close,86.23,1567776695942,86.04,1567800063305,86.43,85.6,86.04,Close,"September 6, 2019",1567800063305,4450705,86.04,100,1567799999889,86.04,1567800600002,86.4,0.36,0.00418,1567809808057,85.9,4356370,0.14,0.00163,4450705,0.03777356621029702,168119,4577055,0,0,0,0,152067096000,52.46,88.76,65.22,0.23760099999999998,1567799999889,False
ABBV,"AbbVie, Inc.",New York Stock Exchange,close,67.35,1567776716374,67.62,1567800010731,68.12,67.0,67.62,Close,"September 6, 2019",1567800010731,7511026,67.61,100,1567799996863,67.6,1567800600012,67.69,0.07,0.00104,1567812684952,67.03,5602689,0.59,0.0088,7511026,0.03097499595927374,232654,8910893,0,0,0,0,99974817600,24.81,96.6,62.66,-0.23999499999999999,1567799996863,False
ABMD,"ABIOMED, Inc.",NASDAQ,close,190.96,1567776601053,189.43,1567800000422,192.38,188.35,189.43,Close,"September 6, 2019",1567800000422,271103,189.46,7,1567799958469,189.43,1567800000422,189.43,0.0,0.0,1567802498819,190.25,403144,-0.82,-0.00431,271103,0.024581063285909782,6664,716531,0,0,0,0,8595765110,33.13,459.75,180.0,-0.390521,1567799958469,False
ACN,Accenture Plc,New York Stock Exchange,close,200.0,1567776600421,201.12,1567800008934,202.8,199.044,201.12,Close,"September 6, 2019",1567800008934,2184065,201.19,76,1567799998866,201.12,1567800600002,201.12,0.0,0.0,1567809000000,199.49,2216109,1.63,0.00817,2184065,0.06383280717377916,139415,1761800,0,0,0,0,128141797920,27.44,201.12,132.63,0.427119,1567799998866,False
ATVI,"Activision Blizzard, Inc.",NASDAQ,close,54.67,1567776600342,54.58,1567800000779,55.01,54.26,54.58,Close,"September 6, 2019",1567800000779,7033692,54.59,5,1567799989071,54.58,1567800000779,54.74,0.16,0.00293,1567808341141,54.58,11780719,0.0,0.0,7033692,0.04346465554647545,305717,7477860,0,0,0,0,41864279080,24.75,84.67,39.85,0.160536,1567799989071,False
ADBE,"Adobe, Inc.",NASDAQ,close,289.26,1567776600280,284.94,1567800000791,289.59,283.96,284.94,Close,"September 6, 2019",1567800000791,2272837,285.05,100,1567799999704,284.95,1567799999942,285.42,0.48,0.00168,1567807608762,287.75,2836385,-2.81,-0.00977,2272837,0.04820407270736969,109560,2266593,0,0,0,0,138320988660,52.48,313.11,204.95,0.271568,1567799999704,False
AMD,"Advanced Micro Devices, Inc.",NASDAQ,close,31.49,1567776601036,30.56,1567800000302,31.51,30.48,30.56,Close,"September 6, 2019",1567800000302,51531525,30.555,100,1567799995212,30.56,1567800000302,30.64,0.08,0.00262,1567813467083,31.5,57932080,-0.94,-0.02984,51531525,0.016401202952949674,845179,70335414,0,0,0,0,33174408000,162.9,35.55,16.03,0.643022,1567799995212,False
AAP,"Advance Auto Parts, Inc.",New York Stock Exchange,close,146.89,1567776600395,147.21,1567800120461,147.665,146.32,147.21,Close,"September 6, 2019",1567800120461,818158,147.2,100,1567799991094,147.0,1567800600004,147.21,0.0,0.0,1567809000002,146.55,770610,0.66,0.0045,818158,0.04871552927429665,39857,1431680,0,0,0,0,10508880270,24.43,186.15,130.09,-0.067498,1567799991094,False
AES,The AES Corp.,New York Stock Exchange,close,15.53,1567776600402,15.31,1567800220135,15.57,15.28,15.31,Close,"September 6, 2019",1567800220135,3492680,15.315,100,1567799991855,15.31,1567800600003,15.44,0.13,0.00849,1567809000002,15.44,5726752,-0.13,-0.00842,3492680,0.09850830880584537,344058,5249397,0,0,0,0,10163543500,25.61,18.52,13.0,0.08043800000000001,1567799991855,False
AMG,"Affiliated Managers Group, Inc.",New York Stock Exchange,close,78.76,1567776600398,78.63,1567800120379,79.45,77.71,78.63,Close,"September 6, 2019",1567800120379,436466,78.61,100,1567799998937,78.63,1567800600006,78.63,0.0,0.0,1567809000004,78.74,470132,-0.11,-0.0014,436466,0.04030325386169828,17591,550782,0,0,0,0,3981823200,-34.38,147.94,73.9,-0.19981200000000002,1567799998937,False
AFL,"Aflac, Inc.",New York Stock Exchange,close,51.3,1567776600417,51.57,1567800027617,51.84,51.22,51.57,Close,"September 6, 2019",1567800027617,3388848,51.57,100,1567799996702,51.57,1567800600004,52.32,0.75,0.01454,1567809000004,51.13,2922062,0.44,0.00861,3388848,0.022706831347997905,76950,3594585,0,0,0,0,38181551310,12.52,57.18,41.44,0.131853,1567799996702,False
A,"Agilent Technologies, Inc.",New York Stock Exchange,close,73.69,1567776710309,74.28,1567800104497,74.37,73.69,74.28,Close,"September 6, 2019",1567800104497,3117566,74.28,200,1567799997677,74.28,1567800600003,74.28,0.0,0.0,1567809000000,73.52,2997855,0.76,0.01034,3117566,0.13097461288710488,408322,2559727,0,0,0,0,22987283040,21.96,82.27,61.01,0.12953599999999998,1567799997677,False
APD,"Air Products & Chemicals, Inc.",New York Stock Exchange,close,225.21,1567776600411,225.59,1567800234803,226.26,224.01,225.59,Close,"September 6, 2019",1567800234803,822984,225.645,100,1567799982874,225.59,1567800600002,225.59,0.0,0.0,1567809000001,224.57,1233076,1.02,0.00454,822984,0.017716018780438016,14580,992893,0,0,0,0,49709884450,29.06,232.46,148.44,0.41170799999999996,1567799982874,False
