FISCAL_YEAR,STATE,COMPANY,ASSETS_MILLIONS,LIABILITIES_MILLIONS,COURT_DISTRICT
2009,FL,"A21, Inc.",25.2,30.3,MD
2009,DE,Abitibibowater Inc.,9937.0,2213.0,D
2009,FL,"Accentia Biopharmaceuticals, Inc.",134.9,77.6,MD
2009,DE,Accredited Home Lenders Holding Co.,799.5,490.7,D
2009,NY,Apex Silver Mines LTD,721.3,930.9,SD
2009,DE,"Applied Solar, Inc.",17.6,29.1,D
2009,CA,"Asyst Technologies, Inc.",295.8,315.4,ND
2009,GA,"Atherogenics, Inc.",72.0,40.0,ND
2009,MI,"Aurora Oil Gas Corp., et al.",103.7,134.4,WD
2009,TX,Ausam Energy Corp. et al.,56.3,24.3,SD
2009,DE,"Aventine Renewable Energy Holdings, Inc.",799.5,490.7,D
2009,CA,"Aviza Technology, Inc.",2.6,38.3,ND
2009,FL,BankUnited Financial Corporation,37.7,559.7,SD
2009,DE,Barzel Industries Inc.,365.8,384.6,D
2009,TX,Baseline Oil & Gas,80.1,138.9,HU
2009,DE,"Basin Water, Inc.",50.6,14.2,D
2009,OH,BPI Energy Holdings Inc.,27.0,15.0,ND
2009,KA,Brooke Corporation,512.9,447.4,D
2009,DE,Building Material Holding Corp.,480.1,481.3,D
2009,DE,"Butler International, Inc.",96.4,75.5,D
2009,TX,"Capco Energy, Inc. et al.",35.5,17.1,SD
2009,NC,Cape Fear Bank Corporation,1.2,10.4,ED
2009,CA,Capitol Corp. of the West,6.8,68.0,ED
2009,GA,"Caraustar Industries, Inc.",366.0,376.8,ND
2009,TX,"Cardinal Communications, Inc.",0.35,4.4,ND
2009,NY,Charter Communications Corp.,13881.0,24185.0,SD
2009,NY,Chemtura Corp.,1587.5,3507.4,SD
2009,VA,Chesapeake Corporation,936.6,937.1,ED
2009,NY,"Chrysler, LLC., et al.",39300.0,55200.0,SD
2009,WI,"CIB Maine Bancshares, Inc.",104.8,107.2,ED
2009,VA,"Circuit City Stores, Inc.",3400.1,2323.3,ED
2009,CA,"CMR Mortgage Fund II, LLC",45.3,22.0,ND
2009,DE,Constar International Inc.,420.0,538.0,D
2009,TX,"Crusader Energy Group, Inc., et al.",750.0,325.8,ND
2009,DE,Dayton Superior Corp.,288.7,405.9,D
2009,FL,DNC Multimedia Corporation,1.1,1.2,SD
2009,DE,"Electroglas, Inc.",19.6,31.5,D
2009,TX,"Energy Partners, Ltd., et al.",770.4,708.4,SD
2009,TX,"EnergyTec, Inc. et al.",33.7,12.5,ED
2009,AK,Equity Media Holdings Corporation,103.1,140.6,ED
2009,TX,"Espre Solutions, Inc.",1.8,5.8,ND
2009,TX,"FirstPlus Financial Group, Inc.",15.0,4.5,ND
2009,CA,"Fleetwood Enterprises, Inc.",559.7,623.5,CD
2009,NY,Forticell Bioscience,1.0,8.3,SD
2009,NY,General Growth Properties Inc.,29557.3,27293.7,SD
2009,NY,General Motors Corp.,82290.0,172819.0,SD
2009,DE,GigaBeam Corp.,3.2,9.4,D
2009,AZ,"Global Aircraft Dolutions, Inc.",4.6,12.0,D
2009,FL,"GPS Industries, Inc.",3.0,27.9,MD
2009,TX,"Guaranty Financial Group, Inc. et al.",15391.0,14390.0,ND
2009,IL,"Hartmarx Corp., et al.",483.0,261.0,ND
2009,DE,Haynes Lemmerz International Inc.,2801.5,2659.8,D
2009,NV,"Herbst Gaming, Inc.(Sands Regent)",5.7,1179.0,D
2009,NY,Hydrogen LLC,0.0,10.0,SD
2009,TX,"Idearc, Inc.",1800.0,9500.0,ND
2009,AZ,"ILX Resorts, Inc.",12.9,29.4,D
2009,DE,Indalex Holdings Finance Inc.,356.0,456.0,D
2009,TX,"IndentiPHI, Inc.",3.1,4.8,WD
2009,TX,"Introgen Therapeutics, Inc., et al.",9.1,12.9,WD
2009,IL,ISCO International Inc.,5.3,25.5,ND
