COMPANY,FISCAL_YEAR,STATE,ASSETS_MILLIONS,LIABILITIES_MILLIONS,COURT_DISTRICT
Advanta Group,2010,DE,363.0,331.0,D
"Amcore Financial, Inc.",2010,IL,7.0,75.0,ND
American Mortgage Acceptance Company,2010,NY,6.37,119.968,SD
"Barzel Industries, Inc.",2010,DE,366.0,385.0,D
Baseline Oil & Gas Corp.,2010,TX,80.0,139.0,SD
Blockbuster,2010,NY,1017.04,1464.94,SD
"BSML, Inc.",2010,FL,6.94,9.97,SD
"California Coastal Communities, Inc.",2010,CA,291.0,231.0,CD
"Canopy Financial, Inc.",2010,IL,18.99,25.84,ND
Capital Growth Systems Inc.,2010,DE,26.97,17.146,D
"Ceragenix Pharmaceuticals, Inc. et al.",2010,CO,1.5,12.96,D
"Certified Diabetic Services, Inc.",2010,FL,0.4,0.81,MD
Chem Rx Corp.,2010,DE,169.69,178.28,D
"CIB Maine Bancshares, Inc.",2010,WI,105.0,107.0,ED
Ciena Capitol LLC,2010,NY,521.0,584.0,SD
CIT Group Inc.,2010,NY,71019.2,64901.2,SD
Citadel Broadcastig Corp.,2010,NY,1400.58,2464.31,SD
"Corus Bankshares, Inc.",2010,IL,314.15,532.94,ND
Cross Canyon Energy Corp.,2010,TX,53.35,41.81,SD
"DiscoverNet, In.",2010,WI,701.0,403.0,WD
"ECO2 Plastics, Inc.",2010,CA,1.7,6.39,ND
Edge Petroleum Corp.,2010,TX,264.0,234.0,SD
FairPoint Communications,2010,NY,3235.6,3234.47,SD
FirstFed Financial Corp.,2010,CA,4.47,159.65,CD
Firstfold Corp.,2010,NV,17.96,26.98,D
GigaBeam Corp.,2010,DE,3.18,9.396,D
GSC Group,2010,NY,119.79,313.56,SD
GSI Group,2010,DE,555.0,370.0,D
"Guaranty Financial Group, Inc. et al.",2010,TX,15391.0,14390.0,ND
Imperial Capitol Bancorp Inc.,2010,CA,20.0,190.86,CA
"Isco International, Inc.",2010,IL,5.28,25.46,ND
Jennifer Covertibles Inc.,2010,NY,25.97,46.353,SD
"Jesup & Lamont, Inc. , JWA",2010,NY,41.15,24.564,SD
Kolorfusion International Inc.,2010,CO,596.7,2.49,D
"MDI, Inc.",2010,TX,5.18,2.99,WD
Medical Staffing Network,2010,FL,96.0,150.0,SD
"Mesa Air Group, Inc.",2010,NY,975.49,868.59,SD
"Neenah Enterprises, Inc.",2010,DE,286.61,449.1,D
NutraCea,2010,AZ,83.7,18.9,D
"Orleans Homebuilders, Inc.",2010,DE,591.46,560.13,D
Otter Tail AG Enterprises LLC,2010,MN,67.0,86.0,D
"PNG Ventures, Inc.",2010,DE,40.0,45.0,D
"Protective Products of America, Inc.",2010,FL,27.0,29.0,SD
"Provident Royalties, L.L.C et al.",2010,TX,443.31,466.05,ND
R & G Financial Corporation,2010,PR,40.0,421.0,D
Rancher Energy Corp.,2010,CO,32.3,11.58,D
RCLC,2010,NJ,16.37,10.371,D
"Regent Comms., Inc. , Riveria Holdings",2010,DE,166.51,68.49,D
South Texas Oil Company,2010,TX,49.07,27.9,WD
Stamford Industrial Group,2010,OH,62.2,14.31,ND
The Penn Traffic Company,2010,DE,150.38,136.87,D
TLC Vision Corp.,2010,DE,130.07,166.85,D
"Topspin Medical, Inc.",2010,DE,0.36,0.54,D
"Trico Marine Services, Triple Crown Media",2010,NY,535.2,472.7,SD
"U.S. Concrete, Inc.",2010,DE,389.16,399.35,D
Velocity Express Corp.,2010,DE,94.0,121.0,D
Vermillioin Inc.,2010,DE,7.15,32.015,D
"Vion Pharmaceuticals, Inc.",2010,DE,3030.85,2366.24,D
Visteon Corp.,2010,DE,4577.03,5324.03,D
"Xerium Technologies, Inc.",2010,DE,694.0,813.0,D
