symbol,endDate,intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,minorityInterest,otherCurrentLiab,totalAssets,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,deferredLongTermAssetCharges,shortLongTermDebt,otherStockholderEquity,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,deferredLongTermLiab,goodWill,propertyPlantEquipment
AIG,2019/06/30,11386000000,81211000000,456164000000,64054000000,1566000000,27781000000,522269000000,4766000000,44032000000,22077000000,311035000000,-44000000000,169235000000,2935000000,110079000000,13337000000,1241000000,4991000000,74579000000,267069000000,64054000000,14998000000,12614000000,35050000000,81057000000,0,0,0
AIG,2019/03/31,12128000000,81148000000,450829000000,60302000000,1306000000,26896000000,512922000000,4766000000,44546000000,21259000000,305661000000,-46871000000,169454000000,2565000000,110645000000,14545000000,1253000000,2128000000,70648000000,260692000000,60302000000,10882000000,12655000000,34523000000,82496000000,0,0,0
AIG,2018/12/31,13623000000,81268000000,434675000000,56361000000,948000000,20486000000,491984000000,4766000000,41819000000,20884000000,296010000000,-50557000000,156437000000,2873000000,105513000000,15221000000,1388000000,-1413000000,65377000000,252465000000,51919000000,9674000000,11011000000,33152000000,83639000000,752000000,4082000000,0
AIG,2018/09/30,12683000000,81008000000,445683000000,58586000000,591000000,22131000000,504860000000,4766000000,41034000000,21749000000,306999000000,-48937000000,170826000000,2741000000,104435000000,15088000000,345000000,-536000000,64848000000,256503000000,58586000000,8835000000,12238000000,34249000000,81959000000,0,0,0
AFL,2019/06/30,10128000000,2247000000,123159000000,28241000000,0,10350000000,151400000000,135000000,2283000000,33130000000,100312000000,-7271000000,8800000000,3019000000,16619000000,0,3000000,6364000000,6877000000,125033000000,28241000000,677000000,883000000,6098000000,4706000000,0,0,562000000
AFL,2019/03/31,9892000000,2208000000,119630000000,26049000000,0,10405000000,145679000000,135000000,2065000000,32513000000,96730000000,-8807000000,8275000000,3892000000,17000000000,0,1000000,4481000000,7366000000,119587000000,26049000000,543000000,858000000,5766000000,4625000000,0,0,559000000
AFL,2018/12/31,9875000000,2177000000,116944000000,23462000000,0,9496000000,140406000000,135000000,2128000000,31788000000,97667000000,-10638000000,8014000000,4337000000,13504000000,0,1000000,2151000000,7471000000,114603000000,23462000000,152000000,851000000,5765000000,2950000000,0,0,443000000
AFL,2018/09/30,9622000000,2151000000,114707000000,23234000000,0,9607000000,137941000000,135000000,2082000000,31461000000,93320000000,-10513000000,7544000000,3429000000,16108000000,0,1000000,1909000000,6297000000,114043000000,23234000000,2000000,784000000,5264000000,4530000000,0,0,435000000
ALL,2019/06/30,4667000000,3477000000,93898000000,22546000000,0,15229000000,118374000000,9000000,10118000000,45803000000,42463000000,-26743000000,14596000000,599000000,44249000000,0,0,1757000000,20837000000,74208000000,19999000000,3740000000,6380000000,6628000000,29020000000,0,2547000000,1519000000
ALL,2019/03/31,4670000000,3291000000,92416000000,21488000000,0,14605000000,115834000000,9000000,10175000000,45148000000,42351000000,-26960000000,14515000000,551000000,43040000000,0,0,1082000000,21084000000,71497000000,18941000000,4157000000,6201000000,6453000000,28435000000,0,2547000000,1521000000
ALL,2018/12/31,5497000000,3310000000,90937000000,19382000000,0,14576000000,112249000000,9000000,10304000000,45708000000,56406000000,-29645000000,13198000000,499000000,28080000000,57000000,-1000000,-1560000000,20190000000,69789000000,16139000000,3027000000,6154000000,6451000000,13505000000,0,2530000000,1045000000
ALL,2018/09/30,5222000000,3441000000,90857000000,21330000000,0,14716000000,114490000000,9000000,9725000000,46178000000,41849000000,-28298000000,14081000000,460000000,42558000000,0,-1000000,-1287000000,19657000000,72309000000,18586000000,3071000000,6196000000,6450000000,27843000000,0,2189000000,1032000000
AON,2019/06/30,973000000,6002000000,25894000000,3836000000,77000000,13042000000,29807000000,2000000,12528000000,1669000000,2674000000,-3837000000,2214000000,536300000,15481000000,599000000,1000000,-3837000000,16745000000,54000000,-5335000000,180700000,3372000000,6740000000,1369000000,161000000,8198000000,1623000000
AON,2019/03/31,1077000000,5958000000,24273000000,4775000000,87000000,12391000000,29135000000,2000000,11858400000,2555000000,2718000000,-3740000000,2196000000,552000000,14537000000,588000000,3000000,-3740000000,15919000000,55000000,-4521000000,77600000,3323000000,5990000000,1479000000,155000000,8219000000,1669000000
AON,2018/12/31,1149000000,5965000000,22203000000,4151000000,68000000,11102000000,26422000000,2000000,10665000000,2093000000,2745000000,-3909000000,2088000000,618900000,13296000000,561000000,1000000,-3909000000,14372000000,54000000,-5169000000,118100000,2873000000,5993000000,1943000000,156000000,8171000000,588000000
AON,2018/09/30,1260000000,5850000000,21274000000,4262000000,66000000,10302000000,25602000000,2000000,9736000000,2042000000,2966000000,-3632000000,2066000000,484000000,12643000000,476000000,0,-3632000000,13348000000,52000000,-5280000000,167000000,2852000000,5665000000,1600000000,150000000,8282000000,594000000
AJG,2019/06/30,2008800000,3656500000,14252500000,4879400000,68400000,432300000,19200300000,186100000,2440100000,1839300000,1148100000,-802500000,1526600000,512300000,8932500000,905700000,120300000,-802500000,9547400000,49200000,-2371300000,0,6493500000,3844500000,6873800000,0,5241900000,826400000
AJG,2019/03/31,1841400000,3606300000,13673200000,4880300000,77900000,404800000,18631400000,185300000,2029500000,1810200000,1015100000,-721500000,1445700000,871500000,8637900000,869900000,129800000,-721500000,9669500000,54900000,-1762000000,0,6673500000,3690300000,6741400000,0,4800900000,819000000
AJG,2018/12/31,1773000000,3541900000,11764300000,4498900000,70800000,379300000,16334000000,184000000,2037400000,1558600000,979300000,-785600000,1379800000,607200000,7693600000,806200000,100000000,-785600000,8118700000,0,-1899700000,0,5365900000,3091400000,5740200000,0,4625600000,436900000
AJG,2018/09/30,1772100000,3516600000,11502000000,4544500000,68200000,401300000,16114700000,183700000,2046300000,1517600000,938200000,-673400000,1262900000,605000000,7422600000,743400000,100000000,-673400000,8084000000,65100000,-1728900000,0,5332800000,3141200000,5693600000,0,4501300000,429300000
CB,2019/06/30,11659000000,11757000000,120714000000,53802000000,0,16885000000,174516000000,11121000000,16624000000,33878000000,12224000000,-2954000000,8573000000,1270000000,94169000000,0,113000000,139000000,35402000000,102981000000,32236000000,3808000000,10935000000,13679000000,74028000000,0,15300000000,601000000
CB,2019/03/31,11388000000,12051000000,118992000000,52355000000,0,16376000000,171347000000,11121000000,17354000000,32728000000,12159000000,-3545000000,8906000000,1271000000,93801000000,0,704000000,-770000000,34227000000,100890000000,30936000000,3078000000,9826000000,12379000000,73441000000,0,15328000000,608000000
CB,2018/12/31,12344000000,12557000000,117459000000,50312000000,0,16022000000,167771000000,11121000000,17772000000,31700000000,13685000000,-5066000000,6689000000,1247000000,91379000000,0,624000000,-2448000000,34654000000,98083000000,27928000000,3016000000,10075000000,12395000000,71389000000,0,15271000000,730000000
CB,2018/09/30,11339000000,12853000000,116750000000,50934000000,0,15829000000,167684000000,11121000000,16289000000,31491000000,12068000000,-4531000000,9085000000,1053000000,92225000000,0,500000000,-2159000000,33588000000,98340000000,29463000000,3479000000,10193000000,12457000000,72339000000,0,15332000000,0
CINF,2019/06/30,836000000,1286000000,15206000000,9131000000,0,2896000000,24337000000,397000000,790000000,8566000000,11426000000,-1118000000,1201000000,803000000,2933000000,0,0,364000000,3652000000,18395000000,9050000000,0,1989000000,788000000,0,0,31000000,222000000
CINF,2019/03/31,751000000,1277000000,14722000000,8630000000,0,2717000000,23352000000,397000000,798000000,8229000000,11128000000,-1273000000,1193000000,802000000,2749000000,0,0,210000000,3507000000,17699000000,8630000000,0,1857000000,788000000,0,0,0,202000000
CINF,2018/12/31,738000000,1281000000,14102000000,7833000000,0,2516000000,21935000000,397000000,616000000,7625000000,8810000000,-1470000000,1174000000,784000000,4458000000,0,0,22000000,3159000000,16669000000,7833000000,0,1715000000,788000000,1910000000,0,0,195000000
CINF,2018/09/30,743000000,1273000000,14146000000,8334000000,0,2591000000,22480000000,397000000,553000000,8164000000,10695000000,-1500000000,1153000000,616000000,2621000000,0,0,-4000000,2991000000,17402000000,8334000000,0,1778000000,787000000,0,0,0,191000000
RE,2019/06/30,510861000,2198461000,17503631000,8884160000,0,2737750000,26387791000,694000,1907139000,10152059000,13702854000,-3467054000,888642000,661367000,3097863000,0,0,-44902000,6537937000,18387883000,8884160000,744602000,2748400000,633723000,357050000,0,0,62468000
RE,2019/03/31,528491000,2189544000,17203878000,8426629000,0,2675066000,25630507000,694000,1890911000,9866203000,13516534000,-3629812000,692650000,583974000,2980147000,0,0,-216111000,6300104000,18042832000,8426629000,597138000,2867945000,633668000,297566000,0,0,66430000
RE,2018/12/31,511573000,2188777000,16890195000,7903804000,0,2529570000,24793999000,692000,1892267000,9574440000,9637143000,-3860105000,803082000,656095000,6619439000,0,0,-462557000,5943360000,17535984000,7903804000,240987000,2810668000,633613000,4078638000,0,0,0
RE,2018/09/30,460216000,2182594000,16081844000,8329013000,0,2358305000,24410857000,692000,1841484000,10013592000,12774588000,-3867865000,705434000,639761000,2673698000,0,0,-470317000,5912181000,17333026000,8329013000,693111000,2363723000,633558000,307524000,0,0,0
GL,2019/06/30,4232717000,526518000,18155047000,6700398000,0,1418387000,24855445000,121218000,247383000,5514517000,14774465000,538145000,1242125000,89319000,2027187000,0,8125000,1439250000,836190000,18102822000,6258807000,74116000,425372000,1353395000,351347000,0,441591000,0
