symbol,companyName,primaryExchange,latestPrice,latestUpdate,open,close,low,high,change,changePercent,change,openTime,closeTime,latestPrice,latestUpdate,latestVolume,delayedPrice,delayedPriceTime,extendedPrice,extendedPriceTime,previousClose,previousVolume,volume,avgTotalVolume,marketCap,peRatio,week52High,week52Low,ytdChange,lastTradeTime
MMM,3M Co.,New York Stock Exchange,163.94,2019-09-06 20:01:48.143,164.64,163.94,162.95,164.88,-0.29,-0.0017699999999999999,-0.29,2019-09-06 13:30:00.508,2019-09-06 20:01:48.143,163.94,2019-09-06 20:01:48.143,1762315,163.94,2019-09-06 20:10:00.012,163.94,2019-09-06 23:02:56.991,164.23,2421764,1762315,2935039,94311239260,19.41,219.75,154.0,-0.141702,2019-09-06 19:59:50.885
ABT,Abbott Laboratories,New York Stock Exchange,86.04,2019-09-06 20:01:03.305,86.23,86.04,85.6,86.43,0.14,0.0016300000000000002,0.14,2019-09-06 13:31:35.942,2019-09-06 20:01:03.305,86.04,2019-09-06 20:01:03.305,4450705,86.04,2019-09-06 20:10:00.002,86.4,2019-09-06 22:43:28.057,85.9,4356370,4450705,4577055,152067096000,52.46,88.76,65.22,0.237601,2019-09-06 19:59:59.889
ABBV,"AbbVie, Inc.",New York Stock Exchange,67.62,2019-09-06 20:00:10.731,67.35,67.62,67.0,68.12,0.59,0.0088,0.59,2019-09-06 13:31:56.374,2019-09-06 20:00:10.731,67.62,2019-09-06 20:00:10.731,7511026,67.6,2019-09-06 20:10:00.012,67.69,2019-09-06 23:31:24.952,67.03,5602689,7511026,8910893,99974817600,24.81,96.6,62.66,-0.239995,2019-09-06 19:59:56.863
ABMD,"ABIOMED, Inc.",NASDAQ,189.43,2019-09-06 20:00:00.422,190.96,189.43,188.35,192.38,-0.82,-0.0043100000000000005,-0.82,2019-09-06 13:30:01.053,2019-09-06 20:00:00.422,189.43,2019-09-06 20:00:00.422,271103,189.43,2019-09-06 20:00:00.422,189.43,2019-09-06 20:41:38.819,190.25,403144,271103,716531,8595765110,33.13,459.75,180.0,-0.390521,2019-09-06 19:59:18.469
ACN,Accenture Plc,New York Stock Exchange,201.12,2019-09-06 20:00:08.934,200.0,201.12,199.044,202.8,1.63,0.00817,1.63,2019-09-06 13:30:00.421,2019-09-06 20:00:08.934,201.12,2019-09-06 20:00:08.934,2184065,201.12,2019-09-06 20:10:00.002,201.12,2019-09-06 22:30:00.000,199.49,2216109,2184065,1761800,128141797920,27.44,201.12,132.63,0.42711899999999997,2019-09-06 19:59:58.866
ATVI,"Activision Blizzard, Inc.",NASDAQ,54.58,2019-09-06 20:00:00.779,54.67,54.58,54.26,55.01,0.0,0.0,0.0,2019-09-06 13:30:00.342,2019-09-06 20:00:00.779,54.58,2019-09-06 20:00:00.779,7033692,54.58,2019-09-06 20:00:00.779,54.74,2019-09-06 22:19:01.141,54.58,11780719,7033692,7477860,41864279080,24.75,84.67,39.85,0.16053599999999998,2019-09-06 19:59:49.071
ADBE,"Adobe, Inc.",NASDAQ,284.94,2019-09-06 20:00:00.791,289.26,284.94,283.96,289.59,-2.81,-0.009770000000000001,-2.81,2019-09-06 13:30:00.280,2019-09-06 20:00:00.791,284.94,2019-09-06 20:00:00.791,2272837,284.95,2019-09-06 19:59:59.942,285.42,2019-09-06 22:06:48.762,287.75,2836385,2272837,2266593,138320988660,52.48,313.11,204.95,0.271568,2019-09-06 19:59:59.704
AMD,"Advanced Micro Devices, Inc.",NASDAQ,30.56,2019-09-06 20:00:00.302,31.49,30.56,30.48,31.51,-0.94,-0.02984,-0.94,2019-09-06 13:30:01.036,2019-09-06 20:00:00.302,30.56,2019-09-06 20:00:00.302,51531525,30.56,2019-09-06 20:00:00.302,30.64,2019-09-06 23:44:27.083,31.5,57932080,51531525,70335414,33174408000,162.9,35.55,16.03,0.643022,2019-09-06 19:59:55.212
AAP,"Advance Auto Parts, Inc.",New York Stock Exchange,147.21,2019-09-06 20:02:00.461,146.89,147.21,146.32,147.665,0.66,0.0045,0.66,2019-09-06 13:30:00.395,2019-09-06 20:02:00.461,147.21,2019-09-06 20:02:00.461,818158,147.0,2019-09-06 20:10:00.004,147.21,2019-09-06 22:30:00.002,146.55,770610,818158,1431680,10508880270,24.43,186.15,130.09,-0.067498,2019-09-06 19:59:51.094
AES,The AES Corp.,New York Stock Exchange,15.31,2019-09-06 20:03:40.135,15.53,15.31,15.28,15.57,-0.13,-0.00842,-0.13,2019-09-06 13:30:00.402,2019-09-06 20:03:40.135,15.31,2019-09-06 20:03:40.135,3492680,15.31,2019-09-06 20:10:00.003,15.44,2019-09-06 22:30:00.002,15.44,5726752,3492680,5249397,10163543500,25.61,18.52,13.0,0.08043800000000001,2019-09-06 19:59:51.855
