intangibleAssets,capitalSurplus,totalLiab,totalStockholderEquity,otherCurrentLiab,totalAssets,endDate,commonStock,otherCurrentAssets,retainedEarnings,otherLiab,treasuryStock,otherAssets,cash,totalCurrentLiabilities,shortLongTermDebt,otherStockholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,maxAge,longTermDebt,accountsPayable,symbol,goodWill,deferredLongTermAssetCharges,minorityInterest,deferredLongTermLiab
10128000000,2247000000,123159000000,28241000000,10350000000,151400000000,1561852800,135000000,2283000000,33130000000,100312000000,-7271000000,8800000000,3019000000,16619000000,3000000,6364000000,562000000,6877000000,125033000000,28241000000,677000000,883000000,1,6098000000,4706000000,AFL,,,,
10.13B,2.25B,123.16B,28.24B,10.35B,151.4B,2019-06-30,135M,2.28B,33.13B,100.31B,-7.27B,8.8B,3.02B,16.62B,3M,6.36B,562M,6.88B,125.03B,28.24B,677M,883M,1,6.1B,4.71B,AFL,,,,
"10,128,000,000","2,247,000,000","123,159,000,000","28,241,000,000","10,350,000,000","151,400,000,000",,"135,000,000","2,283,000,000","33,130,000,000","100,312,000,000","-7,271,000,000","8,800,000,000","3,019,000,000","16,619,000,000","3,000,000","6,364,000,000","562,000,000","6,877,000,000","125,033,000,000","28,241,000,000","677,000,000","883,000,000",1,"6,098,000,000","4,706,000,000",AFL,,,,
9892000000,2208000000,119630000000,26049000000,10405000000,145679000000,1553990400,135000000,2065000000,32513000000,96730000000,-8807000000,8275000000,3892000000,17000000000,1000000,4481000000,559000000,7366000000,119587000000,26049000000,543000000,858000000,1,5766000000,4625000000,AFL,,,,
9.89B,2.21B,119.63B,26.05B,10.4B,145.68B,2019-03-31,135M,2.06B,32.51B,96.73B,-8.81B,8.28B,3.89B,17B,1M,4.48B,559M,7.37B,119.59B,26.05B,543M,858M,1,5.77B,4.62B,AFL,,,,
"9,892,000,000","2,208,000,000","119,630,000,000","26,049,000,000","10,405,000,000","145,679,000,000",,"135,000,000","2,065,000,000","32,513,000,000","96,730,000,000","-8,807,000,000","8,275,000,000","3,892,000,000","17,000,000,000","1,000,000","4,481,000,000","559,000,000","7,366,000,000","119,587,000,000","26,049,000,000","543,000,000","858,000,000",1,"5,766,000,000","4,625,000,000",AFL,,,,
9875000000,2177000000,116944000000,23462000000,9496000000,140406000000,1546214400,135000000,2128000000,31788000000,97667000000,-10638000000,8014000000,4337000000,13504000000,1000000,2151000000,443000000,7471000000,114603000000,23462000000,152000000,851000000,1,5765000000,2950000000,AFL,,,,
9.88B,2.18B,116.94B,23.46B,9.5B,140.41B,2018-12-31,135M,2.13B,31.79B,97.67B,-10.64B,8.01B,4.34B,13.5B,1M,2.15B,443M,7.47B,114.6B,23.46B,152M,851M,1,5.76B,2.95B,AFL,,,,
"9,875,000,000","2,177,000,000","116,944,000,000","23,462,000,000","9,496,000,000","140,406,000,000",,"135,000,000","2,128,000,000","31,788,000,000","97,667,000,000","-10,638,000,000","8,014,000,000","4,337,000,000","13,504,000,000","1,000,000","2,151,000,000","443,000,000","7,471,000,000","114,603,000,000","23,462,000,000","152,000,000","851,000,000",1,"5,765,000,000","2,950,000,000",AFL,,,,
9622000000,2151000000,114707000000,23234000000,9607000000,137941000000,1538265600,135000000,2082000000,31461000000,93320000000,-10513000000,7544000000,3429000000,16108000000,1000000,1909000000,435000000,6297000000,114043000000,23234000000,2000000,784000000,1,5264000000,4530000000,AFL,,,,
9.62B,2.15B,114.71B,23.23B,9.61B,137.94B,2018-09-30,135M,2.08B,31.46B,93.32B,-10.51B,7.54B,3.43B,16.11B,1M,1.91B,435M,6.3B,114.04B,23.23B,2M,784M,1,5.26B,4.53B,AFL,,,,
"9,622,000,000","2,151,000,000","114,707,000,000","23,234,000,000","9,607,000,000","137,941,000,000",,"135,000,000","2,082,000,000","31,461,000,000","93,320,000,000","-10,513,000,000","7,544,000,000","3,429,000,000","16,108,000,000","1,000,000","1,909,000,000","435,000,000","6,297,000,000","114,043,000,000","23,234,000,000","2,000,000","784,000,000",1,"5,264,000,000","4,530,000,000",AFL,,,,
4667000000,3477000000,93898000000,22546000000,15229000000,118374000000,1561852800,9000000,10118000000,45803000000,42463000000,-26743000000,14596000000,599000000,44249000000,,1757000000,1519000000,20837000000,74208000000,19999000000,3740000000,6380000000,1,6628000000,29020000000,ALL,2547000000,,,
4.67B,3.48B,93.9B,22.55B,15.23B,118.37B,2019-06-30,9M,10.12B,45.8B,42.46B,-26.74B,14.6B,599M,44.25B,,1.76B,1.52B,20.84B,74.21B,20B,3.74B,6.38B,1,6.63B,29.02B,ALL,2.55B,,,
"4,667,000,000","3,477,000,000","93,898,000,000","22,546,000,000","15,229,000,000","118,374,000,000",,"9,000,000","10,118,000,000","45,803,000,000","42,463,000,000","-26,743,000,000","14,596,000,000","599,000,000","44,249,000,000",,"1,757,000,000","1,519,000,000","20,837,000,000","74,208,000,000","19,999,000,000","3,740,000,000","6,380,000,000",1,"6,628,000,000","29,020,000,000",ALL,"2,547,000,000",,,
4670000000,3291000000,92416000000,21488000000,14605000000,115834000000,1553990400,9000000,10175000000,45148000000,42351000000,-26960000000,14515000000,551000000,43040000000,,1082000000,1521000000,21084000000,71497000000,18941000000,4157000000,6201000000,1,6453000000,28435000000,ALL,2547000000,,,
