investments,changeToLiabilities,totalCashflowsFromInvestingActivities,netBorrowings,totalCashFromFinancingActivities,changeToOperatingActivities,issuanceOfStock,netIncome,changeInCash,endDate,repurchaseOfStock,effectOfExchangeRate,totalCashFromOperatingActivities,otherCashflowsFromInvestingActivities,dividendsPaid,changeToAccountReceivables,otherCashflowsFromFinancingActivities,maxAge,changeToNetincome,symbol,depreciation,capitalExpenditures
-614000000,0,-1436000000,268000000,-292000000,551000000,14000000,817000000,-873000000,1561852800,-357000000,42000000,813000000,-352000000,-194000000,-52000000,-23000000,1,-228000000,AFL,,
-614M,,-1.44B,268M,-292M,551M,14M,817M,-873M,2019-06-30,-357M,42M,813M,-352M,-194M,-52M,-23M,1,-228M,AFL,,
"-614,000,000",0,"-1,436,000,000","268,000,000","-292,000,000","551,000,000","14,000,000","817,000,000","-873,000,000",,"-357,000,000","42,000,000","813,000,000","-352,000,000","-194,000,000","-52,000,000","-23,000,000",1,"-228,000,000",AFL,,
-2073000000,0,-1291000000,268000000,-686000000,468000000,12000000,928000000,-445000000,1553990400,-490000000,-12000000,1544000000,958000000,-195000000,35000000,-13000000,1,-543000000,AFL,,
-2.07B,,-1.29B,268M,-686M,468M,12M,928M,-445M,2019-03-31,-490M,-12M,1.54B,958M,-195M,35M,-13M,1,-543M,AFL,,
"-2,073,000,000",0,"-1,291,000,000","268,000,000","-686,000,000","468,000,000","12,000,000","928,000,000","-445,000,000",,"-490,000,000","-12,000,000","1,544,000,000","958,000,000","-195,000,000","35,000,000","-13,000,000",1,"-543,000,000",AFL,,
1126000000,0,-410000000,470000000,-103000000,522000000,22000000,525000000,908000000,1546214400,-378000000,66000000,1355000000,-1177000000,-198000000,-28000000,-19000000,1,-52000000,AFL,49000000,
1.13B,,-410M,470M,-103M,522M,22M,525M,908M,2018-12-31,-378M,66M,1.35B,-1.18B,-198M,-28M,-19M,1,-52M,AFL,49M,
"1,126,000,000",0,"-410,000,000","470,000,000","-103,000,000","522,000,000","22,000,000","525,000,000","908,000,000",,"-378,000,000","66,000,000","1,355,000,000","-1,177,000,000","-198,000,000","-28,000,000","-19,000,000",1,"-52,000,000",AFL,"49,000,000",
1164000000,0,-1729000000,470000000,-525000000,475000000,24000000,845000000,-418000000,1538265600,-322000000,-16000000,1852000000,-1687000000,-199000000,-26000000,-28000000,1,25000000,AFL,49000000,
1.16B,,-1.73B,470M,-525M,475M,24M,845M,-418M,2018-09-30,-322M,-16M,1.85B,-1.69B,-199M,-26M,-28M,1,25M,AFL,49M,
