amount,date,type,data,symbol,numerator,denominator,splitRatio
0.32,1560432600,DIVIDEND,0.32,AIG,,,
0.32,1552570200,DIVIDEND,0.32,AIG,,,
0.32,1544538600,DIVIDEND,0.32,AIG,,,
0.32,1536931800,DIVIDEND,0.32,AIG,,,
0.32,1528896600,DIVIDEND,0.32,AIG,,,
0.32,1521034200,DIVIDEND,0.32,AIG,,,
0.32,1512657000,DIVIDEND,0.32,AIG,,,
0.32,1505395800,DIVIDEND,0.32,AIG,,,
0.32,1497274200,DIVIDEND,0.32,AIG,,,
0.32,1489411800,DIVIDEND,0.32,AIG,,,
0.32,1481034600,DIVIDEND,0.32,AIG,,,
0.32,1473773400,DIVIDEND,0.32,AIG,,,
0.32,1465479000,DIVIDEND,0.32,AIG,,,
0.32,1457620200,DIVIDEND,0.32,AIG,,,
0.28,1449153000,DIVIDEND,0.28,AIG,,,
0.28,1441891800,DIVIDEND,0.28,AIG,,,
0.125,1433856600,DIVIDEND,0.125,AIG,,,
0.125,1425994200,DIVIDEND,0.125,AIG,,,
0.125,1417530600,DIVIDEND,0.125,AIG,,,
0.125,1410269400,DIVIDEND,0.125,AIG,,,
0.125,1402061400,DIVIDEND,0.125,AIG,,,
0.125,1394202600,DIVIDEND,0.125,AIG,,,
0.1,1386081000,DIVIDEND,0.1,AIG,,,
0.1,1378819800,DIVIDEND,0.1,AIG,,,
8.7,1295533800,DIVIDEND,8.7,AIG,,,
,1246455000,SPLIT,20/1,AIG,1.0,20.0,20/1
0.22,1220448600,DIVIDEND,0.22,AIG,,,
0.2,1212586200,DIVIDEND,0.2,AIG,,,
0.2,1204727400,DIVIDEND,0.2,AIG,,,
0.2,1196865000,DIVIDEND,0.2,AIG,,,
0.2,1188999000,DIVIDEND,0.2,AIG,,,
0.165,1180531800,DIVIDEND,0.165,AIG,,,
0.165,1172673000,DIVIDEND,0.165,AIG,,,
0.165,1164810600,DIVIDEND,0.165,AIG,,,
0.165,1156944600,DIVIDEND,0.165,AIG,,,
0.15,1149082200,DIVIDEND,0.15,AIG,,,
0.15,1141223400,DIVIDEND,0.15,AIG,,,
0.27,1566307800,DIVIDEND,0.27,AFL,,,
0.27,1558445400,DIVIDEND,0.27,AFL,,,
0.27,1550586600,DIVIDEND,0.27,AFL,,,
0.26,1542724200,DIVIDEND,0.26,AFL,,,
0.26,1534858200,DIVIDEND,0.26,AFL,,,
0.26,1526995800,DIVIDEND,0.26,AFL,,,
,1521466200,SPLIT,1/2,AFL,2.0,1.0,1/2
