researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,endDate,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,maxAge,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,symbol
,,1109000000,,817000000,743000000,1909000000,1166000000,1561852800,1166000000,,-57000000,,,,292000000,5511000000,4345000000,3602000000,-57000000,1,,817000000,817000000,AFL
,,1.11B,,817M,743M,1.91B,1.17B,2019-06-30,1.17B,,-57M,,,,292M,5.51B,4.34B,3.6B,-57M,1,,817M,817M,AFL
,,"1,109,000,000",,"817,000,000","743,000,000","1,909,000,000","1,166,000,000",,"1,166,000,000",,"-57,000,000",,,,"292,000,000","5,511,000,000","4,345,000,000","3,602,000,000","-57,000,000",1,,"817,000,000","817,000,000",AFL
,,1242000000,,928000000,719000000,2019000000,1300000000,1553990400,1300000000,,-58000000,,,,314000000,5657000000,4357000000,3638000000,-58000000,1,,928000000,928000000,AFL
,,1.24B,,928M,719M,2.02B,1.3B,2019-03-31,1.3B,,-58M,,,,314M,5.66B,4.36B,3.64B,-58M,1,,928M,928M,AFL
,,"1,242,000,000",,"928,000,000","719,000,000","2,019,000,000","1,300,000,000",,"1,300,000,000",,"-58,000,000",,,,"314,000,000","5,657,000,000","4,357,000,000","3,638,000,000","-58,000,000",1,,"928,000,000","928,000,000",AFL
,,722000000,,525000000,795000000,1575000000,780000000,1546214400,780000000,,-58000000,,,,197000000,5126000000,4346000000,3551000000,-58000000,1,,525000000,525000000,AFL
,,722M,,525M,795M,1.57B,780M,2018-12-31,780M,,-58M,,,,197M,5.13B,4.35B,3.55B,-58M,1,,525M,525M,AFL
,,"722,000,000",,"525,000,000","795,000,000","1,575,000,000","780,000,000",,"780,000,000",,"-58,000,000",,,,"197,000,000","5,126,000,000","4,346,000,000","3,551,000,000","-58,000,000",1,,"525,000,000","525,000,000",AFL
,,1146000000,,845000000,730000000,1929000000,1199000000,1538265600,1199000000,,-53000000,,,,301000000,5577000000,4378000000,3648000000,-53000000,1,,845000000,845000000,AFL
,,1.15B,,845M,730M,1.93B,1.2B,2018-09-30,1.2B,,-53M,,,,301M,5.58B,4.38B,3.65B,-53M,1,,845M,845M,AFL
,,"1,146,000,000",,"845,000,000","730,000,000","1,929,000,000","1,199,000,000",,"1,199,000,000",,"-53,000,000",,,,"301,000,000","5,577,000,000","4,378,000,000","3,648,000,000","-53,000,000",1,,"845,000,000","845,000,000",AFL
,,1078000000,,851000000,1505000000,2759000000,1222000000,1561852800,1222000000,,-82000000,,,,227000000,11144000000,9922000000,8385000000,-144000000,1,,851000000,821000000,ALL
,,1.08B,,851M,1.5B,2.76B,1.22B,2019-06-30,1.22B,,-82M,,,,227M,11.14B,9.92B,8.38B,-144M,1,,851M,821M,ALL
,,"1,078,000,000",,"851,000,000","1,505,000,000","2,759,000,000","1,222,000,000",,"1,222,000,000",,"-82,000,000",,,,"227,000,000","11,144,000,000","9,922,000,000","8,385,000,000","-144,000,000",1,,"851,000,000","821,000,000",ALL
,,1620000000,,1292000000,1395000000,3147000000,1720000000,1553990400,1720000000,,-83000000,,,,328000000,10990000000,9270000000,7843000000,-100000000,1,,1292000000,1261000000,ALL
,,1.62B,,1.29B,1.4B,3.15B,1.72B,2019-03-31,1.72B,,-83M,,,,328M,10.99B,9.27B,7.84B,-100M,1,,1.29B,1.26B,ALL
,,"1,620,000,000",,"1,292,000,000","1,395,000,000","3,147,000,000","1,720,000,000",,"1,720,000,000",,"-83,000,000",,,,"328,000,000","10,990,000,000","9,270,000,000","7,843,000,000","-100,000,000",1,,"1,292,000,000","1,261,000,000",ALL
,,-364000000,,-269000000,1573000000,1411000000,-267000000,1546214400,-267000000,,-81000000,,,,-95000000,9481000000,9748000000,8070000000,-97000000,1,,-269000000,-312000000,ALL
,,-364M,,-269M,1.57B,1.41B,-267M,2018-12-31,-267M,,-81M,,,,-95M,9.48B,9.75B,8.07B,-97M,1,,-269M,-312M,ALL
,,"-364,000,000",,"-269,000,000","1,573,000,000","1,411,000,000","-267,000,000",,"-267,000,000",,"-81,000,000",,,,"-95,000,000","9,481,000,000","9,748,000,000","8,070,000,000","-97,000,000",1,,"-269,000,000","-312,000,000",ALL
,,1039000000,,870000000,1534000000,2670000000,1136000000,1538265600,1136000000,,-82000000,,,,169000000,10465000000,9329000000,7795000000,-97000000,1,,870000000,833000000,ALL
,,1.04B,,870M,1.53B,2.67B,1.14B,2018-09-30,1.14B,,-82M,,,,169M,10.46B,9.33B,7.79B,-97M,1,,870M,833M,ALL
,,"1,039,000,000",,"870,000,000","1,534,000,000","2,670,000,000","1,136,000,000",,"1,136,000,000",,"-82,000,000",,,,"169,000,000","10,465,000,000","9,329,000,000","7,795,000,000","-97,000,000",1,,"870,000,000","833,000,000",ALL
,,343000000,77000000,277000000,555000000,1110000000,418000000,1561852800,418000000,,-77000000,,,,56000000,2606000000,2188000000,1496000000,-75000000,1,,287000000,277000000,AON
,,343M,77M,277M,555M,1.11B,418M,2019-06-30,418M,,-77M,,,,56M,2.61B,2.19B,1.5B,-75M,1,,287M,277M,AON
