symbol,companyName,primaryExchange,calculationPrice,open,openTime,close,closeTime,high,low,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,iexRealtimePrice,iexRealtimeSize,iexLastUpdated,delayedPrice,delayedPriceTime,extendedPrice,extendedChange,extendedChangePercent,extendedPriceTime,previousClose,previousVolume,change,changePercent,volume,iexMarketPercent,iexVolume,avgTotalVolume,iexBidPrice,iexBidSize,iexAskPrice,iexAskSize,marketCap,peRatio,week52High,week52Low,ytdChange,lastTradeTime,isUSMarketOpen
MMM,3M Co.,New York Stock Exchange,tops,,,,,,,163.24,IEX real time price,12:35:57 PM,1567787757494,,163.24,62,1567787757494,,,,,,,164.23,2421764,-0.99,-0.00603,,0.05418886555848979,35253,2935039,0.0,0,167.9,100,93908543960.0,19.33,219.75,154.0,-0.145962,1567787757494,True
ABT,Abbott Laboratories,New York Stock Exchange,tops,,,,,,,85.82,IEX real time price,12:36:05 PM,1567787765799,,85.82,3,1567787765799,,,,,,,85.9,4356370,-0.08,-0.00093,,0.03746992816101327,51694,4577055,82.54,100,90.0,250,151678268000.0,52.33,88.76,65.22,0.235041,1567787765799,True
ABBV,"AbbVie, Inc.",New York Stock Exchange,tops,,,,,,,67.935,IEX real time price,12:36:16 PM,1567787776629,,67.935,100,1567787776629,,,,,,,67.03,5602689,0.905,0.0135,,0.042080831619066734,113225,8910893,67.0,500,69.0,100,100440538800.0,24.93,96.6,62.66,-0.23529499999999998,1567787776629,True
ABMD,"ABIOMED, Inc.",NASDAQ,tops,,,,,,,191.46,IEX real time price,12:36:16 PM,1567787776211,,191.46,5,1567787776211,,,,,,,190.25,403144,1.21,0.00636,,0.03193304545931158,3350,716531,0.0,0,0.0,0,8687880420.0,33.48,459.75,180.0,-0.37985100000000005,1567787776211,True
ACN,Accenture Plc,New York Stock Exchange,tops,,,,,,,202.015,IEX real time price,12:36:20 PM,1567787780885,,202.015,100,1567787780885,,,,,,,199.49,2216109,2.525,0.01266,,0.07913736755675194,53829,1761800,0.0,0,202.04,200,128712039115.0,27.56,202.015,132.63,0.431609,1567787780885,True
ATVI,"Activision Blizzard, Inc.",NASDAQ,tops,,,,,,,54.525,IEX real time price,12:36:24 PM,1567787784166,,54.525,200,1567787784166,,,,,,,54.58,11780719,-0.055,-0.00101,,0.03808829487194422,117707,7477860,54.35,100,55.3,100,41822092650.0,24.73,84.67,39.85,0.159526,1567787784166,True
ADBE,"Adobe, Inc.",NASDAQ,tops,,,,,,,288.47,IEX real time price,12:36:17 PM,1567787777660,,288.47,5,1567787777660,,,,,,,287.75,2836385,0.72,0.0025,,0.08447833925660536,73331,2266593,288.45,100,288.59,200,140034588330.0,53.13,313.11,204.95,0.283838,1567787777660,True
AMD,"Advanced Micro Devices, Inc.",NASDAQ,tops,,,,,,,30.785,IEX real time price,12:36:21 PM,1567787781038,,30.785,200,1567787781038,,,,,,,31.5,57932080,-0.715,-0.0227,,0.015924832063489765,418256,70335414,30.78,100,30.79,100,33418656750.0,164.1,35.55,16.03,0.6501619999999999,1567787781038,True
AAP,"Advance Auto Parts, Inc.",New York Stock Exchange,tops,,,,,,,147.035,IEX real time price,12:35:55 PM,1567787755370,,147.035,1,1567787755370,,,,,,,146.55,770610,0.485,0.00331,,0.09040046489728569,21312,1431680,0.0,0,147.13,100,10496387545.0,24.4,186.15,130.09,-0.06868800000000001,1567787755370,True
AES,The AES Corp.,New York Stock Exchange,tops,,,,,,,15.465,IEX real time price,12:36:17 PM,1567787777844,,15.465,100,1567787777844,,,,,,,15.44,5726752,0.025,0.00162,,0.06064199314073051,74564,5249397,15.46,200,15.47,300,10266440250.0,25.87,18.52,13.0,0.090478,1567787777844,True
AMG,"Affiliated Managers Group, Inc.",New York Stock Exchange,tops,,,,,,,78.865,IEX real time price,12:36:24 PM,1567787784549,,78.865,100,1567787784549,,,,,,,78.74,470132,0.125,0.00159,,0.05703383583621201,7892,550782,0.0,0,0.0,0,3993723600.0,-34.48,147.94,73.9,-0.196822,1567787784549,True
AFL,"Aflac, Inc.",New York Stock Exchange,tops,,,,,,,51.75,IEX real time price,12:36:05 PM,1567787765199,,51.75,7,1567787765199,,,,,,,51.13,2922062,0.62,0.01213,,0.02848018340904037,27280,3594585,51.74,100,0.0,0,38314820250.0,12.56,57.18,41.44,0.135373,1567787765199,True
A,"Agilent Technologies, Inc.",New York Stock Exchange,tops,,,,,,,74.11,IEX real time price,12:36:20 PM,1567787780668,,74.11,1,1567787780668,,,,,,,73.52,2997855,0.59,0.00803,,0.18756714762549387,248434,2559727,73.78,300,0.0,0,22934673480.0,21.91,82.27,61.01,0.127226,1567787780668,True
