avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,isUSMarketOpen,lastTradeTime,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,previousVolume,primaryExchange,symbol,volume,week52High,week52Low,ytdChange
3000058,close,-3.08,-0.01905,158.64,1567483200000,3M Co.,158.64,1567541400011,0.0,0.0,158.64,1567549800002,161.63,0,0,0,0,1567540795020,0.03346337286382734,158.64,100,61511,False,1567540795020,158.64,Close,"September 3, 2019",1567483200000,1838159,157.26,91262260560,161.4,1567517405225,18.79,161.72,1967010,New York Stock Exchange,MMM,1838159,219.75,154.0,-0.172127
4573684,close,-1.26,-0.01477,84.06,1567483200000,Abbott Laboratories,84.06,1567541400002,0.0,0.0,84.06,1567549800003,84.64,0,0,0,0,1567540794194,0.053714782430843176,84.05,100,218504,False,1567540794194,84.06,Close,"September 3, 2019",1567483200000,4067856,83.26,148567644000,84.35,1567517539113,51.26,85.32,3628594,New York Stock Exchange,ABT,4067856,88.76,65.22,0.212856
9090799,close,-0.34,-0.00517,65.4,1567483200000,"AbbVie, Inc.",65.4,1567541400013,0.1,0.00153,65.5,1567552684712,65.8,0,0,0,0,1567540797933,0.04449527000128415,65.39,100,353079,False,1567540797933,65.4,Close,"September 3, 2019",1567483200000,7935203,64.93,96692592000,65.67,1567517426522,24.0,65.74,6415479,New York Stock Exchange,ABBV,7935203,96.6,62.66,-0.268422
716532,close,-9.43,-0.04884,183.64,1567483200000,"ABIOMED, Inc.",183.64,1567540800252,0.36,0.00196,184.0,1567553110730,192.47,0,0,0,0,1567540767085,0.052622961454931894,183.54,18,34068,False,1567540201642,183.64,Close,"September 3, 2019",1567483200000,647398,182.05,8333032280,192.08,1567517400755,32.12,193.07,397103,NASDAQ,ABMD,647398,459.75,181.02,-0.42595299999999997
1724995,close,-2.42,-0.01221,195.75,1567483200000,Accenture Plc,195.75,1567541400002,0.0,0.0,195.75,1567549800003,197.76,0,0,0,0,1567540797766,0.03987190797903114,195.75,100,67746,False,1567540797766,195.75,Close,"September 3, 2019",1567483200000,1699091,195.44,124720350750,196.36,1567517400485,26.71,198.17,2176628,New York Stock Exchange,ACN,1699091,200.68,132.63,0.39735
7000154,close,0.46,0.00909,51.06,1567483200000,"Activision Blizzard, Inc.",51.06,1567540800228,0.33,0.00646,51.39,1567547892567,51.57,0,0,0,0,1567540781236,0.041999992028093,51.01,90,263425,False,1567540625696,51.06,Close,"September 3, 2019",1567483200000,6272025,50.43,39164347560,50.48,1567517400700,23.16,50.6,5891610,NASDAQ,ATVI,6272025,84.67,39.85,0.084999
2231047,close,-2.06,-0.00724,282.45,1567483200000,"Adobe, Inc.",282.45,1567540800614,0.43,0.00152,282.88,1567553559508,287.46,0,0,0,0,1567540794050,0.03363121394324896,282.39,100,61840,False,1567540664042,282.45,Close,"September 3, 2019",1567483200000,1838768,281.4,137112245550,284.25,1567517400873,52.02,284.51,2373297,NASDAQ,ADBE,1838768,313.11,204.95,0.25966999999999996
69530176,close,-0.55,-0.01749,30.9,1567483200000,"Advanced Micro Devices, Inc.",30.9,1567541700009,0.04,0.00129,30.94,1567554009760,31.14,0,0,0,0,1567540794146,0.010026324318253418,30.885,100,381014,False,1567540761887,30.9,Close,"September 3, 2019",1567483200000,38001364,30.68,33543495000,30.83,1567517400511,164.71,31.45,40347321,NASDAQ,AMD,38001364,35.55,16.03,0.652717
1423485,close,2.41,0.01747,140.36,1567483200000,"Advance Auto Parts, Inc.",140.36,1567541400003,0.0,0.0,140.36,1567549800003,140.43,0,0,0,0,1567540759869,0.032714008208916526,140.41,28,32806,False,1567540759869,140.36,Close,"September 3, 2019",1567483200000,1002812,136.77,10019879320,137.19,1567517400419,23.29,137.95,721325,New York Stock Exchange,AAP,1002812,186.15,130.09,-0.10898600000000001
5118649,close,0.01,0.00065,15.34,1567483200000,The AES Corp.,15.34,1567541400003,0.0,0.0,15.34,1567549800003,15.45,0,0,0,0,1567540774355,0.03388980375080623,15.315,200,194726,False,1567540774355,15.34,Close,"September 3, 2019",1567483200000,5745858,15.17,10183459000,15.22,1567517400433,25.67,15.33,5110186,New York Stock Exchange,AES,5745858,18.52,13.0,0.08175
544172,close,-1.66,-0.02166,74.97,1567483200000,"Affiliated Managers Group, Inc.",74.97,1567541400005,0.0,0.0,74.97,1567549800004,76.02,0,0,0,0,1567540794063,0.02130647959955198,74.97,37,8313,False,1567540794063,74.97,Close,"September 3, 2019",1567483200000,390163,74.19,3796480800,75.85,1567517400416,-32.78,76.63,377886,New York Stock Exchange,AMG,390163,147.94,73.9,-0.241552
3681345,close,0.2,0.00399,50.38,1567483200000,"Aflac, Inc.",50.38,1567541400004,0.0,0.0,50.38,1567549800003,50.43,0,0,0,0,1567540790854,0.02475655419807202,50.37,80,93534,False,1567540790854,50.38,Close,"September 3, 2019",1567483200000,3778151,49.6,37300495540,49.75,1567517400449,12.23,50.18,3867882,New York Stock Exchange,AFL,3778151,57.18,41.44,0.106363
2615599,close,-0.7,-0.00984,70.41,1567483200000,"Agilent Technologies, Inc.",70.41,1567541400002,0.0,0.0,70.41,1567549800003,71.04,0,0,0,0,1567540795563,0.03810161687268238,70.42,2,84933,False,1567540795563,70.41,Close,"September 3, 2019",1567483200000,2229118,69.481,22249067130,70.7,1567517403499,20.82,71.11,2356396,New York Stock Exchange,A,2229118,82.27,61.01,0.072669
998370,close,-0.36,-0.00159,225.56,1567483200000,"Air Products & Chemicals, Inc.",225.56,1567541400002,0.0,0.0,225.56,1567549800001,226.26,0,0,0,0,1567540783039,0.04130828460065608,225.45,100,30247,False,1567540783039,225.56,Close,"September 3, 2019",1567483200000,732226,223.69,49703273800,223.97,1567517400428,29.06,225.92,878094,New York Stock Exchange,APD,732226,232.46,148.44,0.414038
1750220,close,-0.01,-0.00011,89.12,1567483200000,"Akamai Technologies, Inc.",89.12,1567540800477,-0.12,-0.00135,89.0,1567552200833,89.72,0,0,0,0,1567540795215,0.031456943334751436,89.12,69,45474,False,1567540648330,89.12,Close,"September 3, 2019",1567483200000,1445595,88.38,14703195840,88.86,1567517400841,34.41,89.13,1159643,NASDAQ,AKAM,1445595,90.76,57.18,0.510312
1066975,close,0.71,0.01189,60.43,1567483200000,"Alaska Air Group, Inc.",59.84,1567541400003,-0.32,-0.0053,60.11,1567549800003,60.51,0,0,0,0,1567540794729,0.015398765938757731,60.41,100,17110,False,1567540794729,60.43,Close,"September 3, 2019",1567483200000,1111128,59.43,7449326960,59.43,1567517400438,14.73,59.72,842062,New York Stock Exchange,ALK,1111128,74.83,53.38,-0.017369000000000002
1642183,close,-1.5,-0.0243,60.23,1567483200000,Albemarle Corp.,60.23,1567541400003,0.4,0.00664,60.63,1567549800003,61.0,0,0,0,0,1567540791471,0.04397113117630478,60.25,100,60371,False,1567540791471,60.23,Close,"September 3, 2019",1567483200000,1372969,59.51,6383536780,61.0,1567517400468,11.7,61.73,1404335,New York Stock Exchange,ALB,1372969,108.74,58.63,-0.234004
633786,close,0.15,0.001,149.99,1567483200000,"Alexandria Real Estate Equities, Inc.",149.99,1567541400006,0.0,0.0,149.99,1567549800002,150.52,0,0,0,0,1567540788498,0.03435386580498554,149.99,58,18988,False,1567540788498,149.99,Close,"September 3, 2019",1567483200000,552718,148.9,17011565820,149.53,1567517400410,42.8,149.84,728618,New York Stock Exchange,ARE,552718,153.51,109.04,0.346425
2899021,close,-5.58,-0.05538,95.18,1567483200000,"Alexion Pharmaceuticals, Inc.",95.18,1567540800554,0.0,0.0,95.18,1567552839487,100.38,0,0,0,0,1567540796177,0.04005414657114134,95.16,99,251806,False,1567540426000,95.18,Close,"September 3, 2019",1567483200000,6286640,94.93,21341925860,100.26,1567517400300,15.97,100.76,8547570,NASDAQ,ALXN,6286640,141.86,92.56,-0.027741
1752290,close,-5.2,-0.0284,177.91,1567483200000,"Align Technology, Inc.",177.91,1567540800391,-0.41,-0.0023,177.5,1567552591355,182.5,0,0,0,0,1567540799402,0.06208467005022441,177.93,100,117372,False,1567540713435,177.91,Close,"September 3, 2019",1567483200000,1890515,177.25,14209849610,182.23,1567517400350,34.08,183.11,1679583,NASDAQ,ALGN,1890515,398.87,172.11,-0.122453
774429,close,-0.94,-0.00976,95.33,1567483200000,Allegion Plc,95.33,1567541400012,0.0,0.0,95.33,1567549800012,96.32,0,0,0,0,1567540766510,0.021827173387189668,95.29,100,14212,False,1567540766510,95.33,Close,"September 3, 2019",1567483200000,651115,94.72,8901534080,95.73,1567517400354,20.57,96.27,621455,New York Stock Exchange,ALLE,651115,111.99,74.83,0.17802500000000002
4102946,close,0.08,0.0005,159.8,1567483200000,Allergan Plc,159.8,1567541400000,0.0,0.0,159.8,1567549800003,160.19,0,0,0,0,1567540799944,0.01308763294647177,159.83,3,53153,False,1567540790866,159.8,Close,"September 3, 2019",1567483200000,4061315,158.67,52419673400,159.3,1567517400373,-6.25,159.72,1948234,New York Stock Exchange,AGN,4061315,197.0,114.27,0.175949
1349080,close,-0.27,-0.00732,122.05,1567483200000,Alliance Data Systems Corp.,122.05,1567541400000,0.0,0.0,122.05,1567549800010,122.73,0,0,0,0,1567540786646,0.024237369439490928,122.12,100,35773,False,1567540786646,122.05,Close,"September 3, 2019",1567483200000,1475944,118.4,6236510900,122.73,1567517400396,7.53,122.32000000000001,709172,New York Stock Exchange,ADS,1475944,250.27,120.77,-0.216034
1180825,close,1.11,0.02116,53.56,1567483200000,Alliant Energy Corp.,53.56,1567540800536,0.0,0.0,53.56,1567545211114,53.81,0,0,0,0,1567540789959,0.03265945638189646,53.56,100,73998,False,1567540707517,53.56,Close,"September 3, 2019",1567483200000,2265745,52.48,12721624760,52.75,1567517400810,24.77,52.45,1592648,NASDAQ,LNT,2265745,53.56,40.68,0.295765
1547179,close,0.15,0.00146,102.54,1567483200000,The Allstate Corp.,102.54,1567541400002,0.0,0.0,102.54,1567549800003,102.74,0,0,0,0,1567540791006,0.005317955801946111,102.54,100,10479,False,1567540791006,102.54,Close,"September 3, 2019",1567483200000,1970494,101.61,33755347680,101.81,1567517400421,13.21,102.39,2077847,New York Stock Exchange,ALL,1970494,109.13,77.0,0.255625
1577941,close,-20.98,-0.01762,1169.55,1567483200000,"Alphabet, Inc.",1169.55,1567540800459,1.55,0.00133,1171.1,1567551360913,1189.08,0,0,0,0,1567540799207,0.03556391934258577,1169.68,9,46112,False,1567540785038,1169.55,Close,"September 3, 2019",1567483200000,1296595,1163.715,810990862702,1181.85,1567517400401,23.39,1190.53,903375,NASDAQ,GOOGL,1296595,1296.97,977.65,0.11118700000000001
1517832,close,-19.71,-0.01659,1168.39,1567483200000,"Alphabet, Inc.",1168.39,1567540800303,0.7,0.0006,1169.09,1567554248383,1186.89,0,0,0,0,1567540798974,0.03023079613795637,1168.95,3,44768,False,1567540759615,1168.39,Close,"September 3, 2019",1567483200000,1480874,1163.2,810186494013,1177.03,1567517400782,23.37,1188.1,1129959,NASDAQ,GOOG,1480874,1289.27,970.11,0.119424
10698624,close,0.3,0.00686,44.04,1567483200000,"Altria Group, Inc.",44.09,1567541400003,0.04,0.00091,44.08,1567551006854,44.14,0,0,0,0,1567540797959,0.06085671035427085,44.05,100,544179,False,1567540797959,44.04,Close,"September 3, 2019",1567483200000,8941972,43.07,82271124000,43.7,1567517425690,13.07,43.74,13985341,New York Stock Exchange,MO,8941972,66.04,42.4,-0.106099
3660319,close,13.55,0.00763,1789.84,1567483200000,"Amazon.com, Inc.",1788.5,1567541700009,-0.42,-0.00023,1789.42,1567554286730,1800.8,0,0,0,0,1567540791864,0.0313251767699072,1790.7,3,111008,False,1567534626601,1789.84,Close,"September 3, 2019",1567483200000,3543731,1768.0,885355095040,1771.02,1567517400650,72.56,1776.29,3064147,NASDAQ,AMZN,3543731,2050.5,1307.0,0.161717
4597354,close,-0.11,-0.0112,9.71,1567483200000,Amcor Plc,9.71,1567541400005,0.0,0.0,9.71,1567549800009,9.85,0,0,0,0,1567540797706,0.07662653302081968,9.705,195,300935,False,1567540797706,9.71,Close,"September 3, 2019",1567483200000,3927295,9.65,15764476300,9.84,1567517488374,16.98,9.82,3963166,New York Stock Exchange,AMCR,3927295,11.77,9.32,-0.132846
1953263,close,1.34,0.01737,78.49,1567483200000,Ameren Corp.,78.49,1567541400003,0.0,0.0,78.49,1567549800003,78.51,0,0,0,0,1567540755610,0.022715657648797363,78.43,100,54093,False,1567540755610,78.49,Close,"September 3, 2019",1567483200000,2381309,76.96,19293077470,77.22,1567517400413,24.17,77.15,1961396,New York Stock Exchange,AEE,2381309,78.49,62.05,0.231757
7563663,close,0.2,0.0076,26.51,1567483200000,"American Airlines Group, Inc.",26.51,1567540800377,-0.08,-0.00302,26.43,1567551156190,26.66,0,0,0,0,1567540787824,0.01952695183729204,26.53,100,131448,False,1567540659695,26.51,Close,"September 3, 2019",1567483200000,6731619,25.95,11804134210,26.16,1567517401057,7.96,26.31,5076364,NASDAQ,AAL,6731619,43.89,24.23,-0.182363
